All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
OCL,Objective Corp,Information Technology,"323,551,000",0.02,,
OFX,OFX Group Limited,Financials,"423,202,000",0.02,,
OGC,Oceanagold Corp Chess Depositary Interest 1:1,Materials,"2,332,630,000",0.12,,
OMH,Om Holdings Limited 10c,Materials,"915,893,000",0.05,,
OML,Ooh!Media Limited,Consumer Discretionary,"816,407,000",0.04,,
OMN,Onemarket,Information Technology,"120,127,000",0.01,,
ONT,1300 Smiles Limited,Health Care,"151,542,000",0.01,,
ORA,Orora Limited,Materials,"4,307,870,000",0.22,,
ORE,Orocobre Limited,Materials,"1,347,870,000",0.07,,
ORG,Origin Energy,Energy,"17,643,300,000",0.91,,
ORI,Orica Limited,Materials,"6,712,270,000",0.35,,
OSH,Oil Search Limited 10 Toea,Energy,"13,560,300,000",0.7,,
OVH,Onevue Holdings Limited,Financials,"211,470,000",0.01,,
OZL,OZ Minerals,Materials,"3,006,710,000",0.15,,
PAC,Pacific Group Limited,Financials,"312,534,000",0.02,,
PAN,Panoramic Resources,Materials,"304,788,000",0.02,,
PCG,Pengana Capital,Financials,"347,521,000",0.02,,
PDL,Pendal Group Limited,Financials,"3,138,740,000",0.16,,
PEA,Pacific Energy,Utilities,"253,065,000",0.01,,
PFP,Propel Funeral,Consumer Discretionary,"279,765,000",0.01,,
PGC,Paragon Care Limited,Health Care,"234,010,000",0.01,,
PGH,Pact Group Holdings Limited,Materials,"1,752,190,000",0.09,,
PHI,Phileo Australia,Real Estate,"384,151,000",0.02,,
PLG,Propertylink Group Stapled Securities US Prohibited,Real Estate,"638,947,000",0.03,,
PLS,Pilbara Min Limited,Materials,"1,509,000,000",0.08,,
PME,Pro Medicus Limited,Health Care,"829,020,000",0.04,,
PMP,PMP Limited,Industrials,"119,893,000",0.01,,
PMV,Premier Investments,Consumer Discretionary,"2,668,720,000",0.14,,
PNC,Pioneer Credit Limited,Financials,"194,609,000",0.01,,
